,fea_year,region,type,Total_Volume,AverageRevenue,Average_price_year
0,2017,TotalUS,conventional,1801769881.2099996,2147798348.1875997,1.1920492015024808
1,2016,TotalUS,conventional,1770259388.99,1812835357.4807,1.0240506949182127
2,2015,TotalUS,conventional,1623685915.93,1643332393.7103994,1.0120999249840426
3,2018,TotalUS,conventional,505506400.23,530569707.58449996,1.0495805935258118
4,2016,West,conventional,333054378.15000004,297680653.2847,0.8937899418653835
5,2017,West,conventional,332812570.31,351286488.1106,1.055508473683528
6,2017,SouthCentral,conventional,318317944.31,295499491.2224,0.9283155301311641
7,2016,California,conventional,317488044.96000004,321655802.6706,1.0131272902295425
8,2017,California,conventional,309227376.72999996,371831532.82769996,1.2024534721334277
9,2016,SouthCentral,conventional,298001987.00999993,251298321.74399996,0.8432773360520152
10,2015,California,conventional,295437873.30999994,299775328.9327,1.0146814474870958
11,2015,West,conventional,294076305.65999997,275674064.6727,0.9374235848549595
12,2015,SouthCentral,conventional,287254538.82,232612038.7906,0.8097767218792662
13,2016,Northeast,conventional,213418852.63,274356299.53810006,1.285529821555859
14,2017,Northeast,conventional,212887297.47000003,318328464.20110005,1.495291020104
15,2015,Northeast,conventional,200497187.54999995,242804089.1002001,1.2110099501502964
16,2016,Southeast,conventional,195118756.42999998,201291202.1422,1.0316343022328271
17,2017,Southeast,conventional,192639817.0599999,250073813.2460999,1.298141874627152
18,2017,GreatLakes,conventional,180425782.36000004,230214790.06320003,1.2759528436122114
19,2016,GreatLakes,conventional,171353140.40999994,191732174.58990002,1.1189300302938059
20,2015,GreatLakes,conventional,165276312.76999998,177827323.788,1.0759395633145936
21,2017,Midsouth,conventional,158505864.81999996,207192721.6575,1.3071612327581006
22,2015,Southeast,conventional,158471516.45999995,169485677.47629994,1.0695024649371616
23,2016,LosAngeles,conventional,158251222.10000002,135926429.2555,0.8589281488746239
24,2017,LosAngeles,conventional,153530501.06999993,162886155.80760002,1.060936782413903
25,2016,Midsouth,conventional,149039722.46,173844502.31510004,1.1664306632197148
26,2015,LosAngeles,conventional,145907711.46,129938744.6609,0.8905543330142778
27,2015,Midsouth,conventional,136705160.37999997,153081200.703,1.1197909448149543
28,2017,Plains,conventional,96953228.08,122861293.96890002,1.2672223132944294
29,2016,Plains,conventional,92784507.04000002,101205069.40239999,1.0907539699356252
30,2018,SouthCentral,conventional,89586684.42,71112094.96059999,0.7937797388193596
31,2018,West,conventional,89417335.42000002,87076611.4471,0.9738224812682523
32,2015,Plains,conventional,85967020.90999997,92130374.96,1.071694400768552
33,2018,California,conventional,81443546.06,86375066.1123,1.060551391618765
34,2017,NewYork,conventional,70232226.16000001,109156119.87659997,1.5542170004397302
35,2016,NewYork,conventional,69731496.14999999,92209434.7747,1.3223498686497064
36,2015,NewYork,conventional,69718104.01999998,86869108.01140003,1.2460050259898054
37,2017,Houston,conventional,67310150.98,56981204.62110002,0.8465469738439743
38,2017,DallasFtWorth,conventional,64967396.20000001,59726551.40790002,0.9193311553388068
39,2017,TotalUS,organic,62923682.16999999,102905665.66910003,1.6354043838547354
40,2016,DallasFtWorth,conventional,62397618.970000006,50686187.61720001,0.8123096434427938
41,2018,Northeast,conventional,62251475.82000001,80504667.36140001,1.2932170089297008
42,2017,PhoenixTucson,conventional,60476062.21000001,46023201.22770001,0.7610151776728917
43,2015,DallasFtWorth,conventional,59700612.709999986,46497122.480200015,0.7788382793667986
44,2018,Southeast,conventional,58968663.260000005,66657413.8598,1.130387059409832
45,2016,PhoenixTucson,conventional,58689329.15,40693996.8057,0.6933798255163732
46,2016,Houston,conventional,57456716.24,46852108.39939999,0.815433102784643
47,2015,PhoenixTucson,conventional,56612329.13999999,36426605.8938,0.6434394494478134
48,2015,Houston,conventional,54824004.550000004,43216484.2168,0.7882766786469632
49,2018,GreatLakes,conventional,50512626.46,56636511.82649999,1.1212347445712287
50,2016,TotalUS,organic,48899753.790000014,71806123.1296,1.4684352693874776
51,2017,WestTexNewMexico,conventional,46470457.9,40729129.6896,0.8764520844026372
52,2018,Midsouth,conventional,46118168.66,52745013.866299994,1.1436927223879059
53,2016,Denver,conventional,43312416.43000001,39758045.79310001,0.9179364503330252
54,2016,WestTexNewMexico,conventional,42862860.05000001,35536651.98390001,0.8290779463257025
55,2015,WestTexNewMexico,conventional,41053747.12000001,31435301.700700007,0.7657109010978873
56,2017,SanFrancisco,conventional,40825129.699999996,59891085.9206,1.4670152026632755
57,2017,Denver,conventional,40706656.01000001,48281810.64619999,1.1860913024724766
58,2015,Chicago,conventional,40321608.17,46506840.32170001,1.153397456907533
59,2016,SanFrancisco,conventional,40291723.330000006,54849299.13140002,1.3613043721701743
60,2015,BaltimoreWashington,conventional,39943357.44,46510280.45949999,1.1644058847422716
61,2016,BaltimoreWashington,conventional,39942775.720000006,52954066.996700004,1.3257482997153107
62,2017,BaltimoreWashington,conventional,39312542.70000001,58972578.9234,1.5000957677408127
63,2017,Chicago,conventional,38969126.43000001,60035104.343199976,1.540581220136937
64,2015,SanFrancisco,conventional,38270024.28000001,48515916.3063,1.2677263006507815
65,2016,Chicago,conventional,37981864.48,48134476.55210001,1.267301571713154
66,2015,Denver,conventional,37304259.12,38807746.72009999,1.0403033764928447
67,2018,LosAngeles,conventional,36820837.849999994,36696004.7229,0.9966097151941916
68,2016,Portland,conventional,35625106.9,31640096.707700003,0.8881404004348407
69,2017,Portland,conventional,35129930.45999999,37226382.89419998,1.0596771017405535
70,2016,Seattle,conventional,35095440.97,34842775.21920001,0.9928006104549029
71,2015,TotalUS,organic,33569305.489999995,50224613.921500005,1.496146946991843
72,2017,Seattle,conventional,32566590.820000004,39259528.31200001,1.2055154476866425
73,2016,MiamiFtLauderdale,conventional,31679022.820000004,34936706.56499999,1.1028340982457105
74,2017,MiamiFtLauderdale,conventional,30625904.950000007,43225487.8665,1.411402795674777
75,2016,Boston,conventional,29961313.680000007,36864926.6555,1.2304175661065337
76,2017,Boston,conventional,29423450.989999987,43623662.15730002,1.4826154203368664
77,2016,SanDiego,conventional,28540085.860000007,26589364.5824,0.9316497754362395
78,2017,Atlanta,conventional,27973126.649999995,32558439.864900004,1.1639185090845041
79,2016,Atlanta,conventional,27754809.449999996,26256010.577000003,0.9459985889760814
80,2015,Boston,conventional,27236591.83,30992331.999999996,1.1378931767029383
81,2018,Plains,conventional,27207899.819999997,29877441.076500002,1.098116402741886
82,2015,Seattle,conventional,27191731.18,30490851.120400008,1.1213280580982858
83,2017,SanDiego,conventional,26403980.199999996,30499131.641300008,1.1550959897061281
84,2015,Portland,conventional,26221905.52,27310831.697199997,1.0415273472924937
